card_id,member_id,library_id,card_number,password
7256,93,8853,14677514,Qz073BOCm#
4879,8334,8838,46975434,#7wU$#tzL7
1045,4606,8838,47451727,_uofmJRvy8
7441,4586,7371,74700074,(40WGihOJX
6428,8022,7371,60799463,T8iQnT_p&i
6484,8022,8838,25323194,4&W69BXvXx
1958,6940,5457,40312711,#n0XvCZcMG
233,1442,7371,70269733,pweF4wZwj&
9284,1714,5457,23057389,vCc34Fgi8#
3080,1683,8838,73236629,)I7P^+cA+I
1638,4606,8838,86997486,ulK9Nu+v$9
9641,5593,3502,70127200,3c*i!Zwh#)
9626,9746,8853,11833046,sFKTp%7@+1
2882,4606,5457,31200981,Hm5@5W4cl(
8782,4286,5457,87702109,%u8WdngZ+7
5298,4872,8838,77630768,+yiU5HOb)1
9419,4948,8838,69834042,K&0XOP@v_y
3122,4523,7371,94858052,)I86PcY0Sj
1490,4286,8853,40587569,ZZ#H5Pbw@8
9367,1442,8838,10994019,J(c881Jm$h
1207,1683,8838,72936522,s0@VyhTc$7
6262,4606,8853,57610905,#7!BYUsS0!
8538,5376,8853,58496075,*MH+8Ujr1p
495,5593,7371,76650039,3gLZHq#6$C
9862,1442,7371,97758469,M4PTdRld@T
8626,8334,7371,36008422,@&q$$NZx!2
1735,7463,8853,43019131,+c7Io_23Ug
6837,3691,3502,65596239,J&_2KPaiJW
3215,6940,7371,88732866,%7DBQIRotm
9038,4606,8838,13752444,RWW1dBUoB@
8360,1442,8853,55495428,4XB(EZ)r!M
1800,1442,5457,56264320,)4XNl68bvx
1222,1683,7371,72147148,#L+0SA1bE%
7831,1714,8853,44562982,hO7aArCh1*
7928,4872,7371,72751331,+8WYPNgb@P
711,8022,8838,95432192,^lH0LWtv@H
6058,2279,8838,65065949,@#GHiFlhZ7
7025,1683,7371,63976094,+qRLMT^l8d
4895,7840,5457,70931044,+$!JNRwre5
8805,7019,8853,65747264,I4HaBP6f_5
5570,5593,8838,87496149,$XLf0PMg^#
9213,5593,8853,74237928,(y9XeY$B2C
2938,7463,8853,44070318,$1oEh5uu7E
6896,1683,7371,60884679,h*4wQ^SkK)
6687,6072,7371,63674220,dC4%9&Pxjt
545,6072,7371,61615261,@@D5UbY+wj
6795,7019,7371,90050897,t+50zTb5cr
9851,6527,3502,89831637,#3WeNiQ8O&
7127,1714,8838,70947538,$^!m0Lt7*I
6803,9746,5457,39351192,$q9ZTvULe2
1753,5593,3502,15888300,$V3Rdfz6t1
710,6527,5457,75361779,*)a9MrC#ft
3763,6527,3502,77145079,21^o@9VbQ9
1027,7754,3502,51756460,7_7YrbfX+h
7983,262,8853,64084696,I&r0Dxz&79
7598,5376,7371,27391726,!2mUdC#vvQ
4313,4286,8838,86848717,#4gRr*ToKx
7819,4286,5457,13188337,p^8_KKtOG_
7154,5008,5457,52105839,MfkC5YdR_t
9145,6527,7371,88045966,zM4sKCei!M
